date,usage
2024-10-23,18.083
2024-10-24,10.797
2024-10-25,9.274
2024-10-26,16.891
2024-10-27,15.048
2024-10-28,15.966
2024-10-29,10.571
2024-10-30,16.437
2024-10-31,15.091
2024-11-01,13.63
2024-11-02,11.346
2024-11-03,16.832
2024-11-04,20.4
2024-11-05,12.97
2024-11-06,20.971
2024-11-07,13.297
2024-11-08,17.115
2024-11-09,18.187
2024-11-10,18.655
2024-11-11,20.28
2024-11-12,21.007
2024-11-13,23.809
2024-11-14,15.551
2024-11-15,18.208
2024-11-16,27.964
2024-11-17,20.415
2024-11-18,25.468
2024-11-19,33.641
2024-11-20,36.699
2024-11-21,43.768
2024-11-22,24.88
2024-11-23,20.907
2024-11-24,11.84
2024-11-25,18.936
2024-11-26,23.588
2024-11-27,23.372
2024-11-28,39.287
2024-11-29,19.849
2024-11-30,15.473
2024-12-01,13.178
2024-12-02,22.325
2024-12-03,29.529
2024-12-04,27.659
2024-12-05,19.124
2024-12-06,19.381
2024-12-07,32.473
2024-12-08,23.584
2024-12-09,30.175
2024-12-10,24.91
2024-12-11,26.382
2024-12-12,23.588
2024-12-13,27.745
2024-12-14,26.176
2024-12-15,17.773
2024-12-16,20.853
2024-12-17,21.03
2024-12-18,13.815
2024-12-19,25.945
2024-12-20,31.19
2024-12-21,21.76
2024-12-22,28.01
2024-12-23,14.137
2024-12-24,3.789
2024-12-25,4.446
2024-12-26,10.481
2024-12-27,13.799
2024-12-28,11.548
2024-12-29,11.923
2024-12-30,9.92
2024-12-31,7.308
2025-01-01,8.427
2025-01-02,20.077
2025-01-03,19.929
2025-01-04,19.51
2025-01-05,27.741
2025-01-06,32.134
2025-01-07,37.345
2025-01-08,39.595
2025-01-09,42.971
2025-01-10,42.522
2025-01-11,47.688
2025-01-12,32.612
2025-01-13,30.914
2025-01-14,28.386
2025-01-15,21.618
2025-01-16,24.593
2025-01-17,25.902
2025-01-18,35.696
2025-01-19,31.186
2025-01-20,26.568
2025-01-21,27.027
2025-01-22,27.06
2025-01-23,32.081
2025-01-24,21.717
2025-01-25,28.515
2025-01-26,27.76
2025-01-27,23.679
2025-01-28,16.808
2025-01-29,22.034
2025-01-30,23.901
2025-01-31,29.935
2025-02-01,28.696
2025-02-02,34.738
2025-02-03,23.676
